property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
Flat,9743000,Northern Bypass,25.038086,67.13664,4,3,2019-05-06,2613.6
House,12500000,Northern Bypass,25.07576,67.105412,5,4,2019-05-06,2994.75
Flat,66000000,DHA Defence,24.750256,67.072453,4,4,2019-06-20,3757.05
Flat,4800000,Gulshan-e-Iqbal Town,24.911726,67.098014,2,2,2019-07-18,1143.45
House,14500000,Bahria Town Karachi,25.00574,67.316385,3,3,2019-07-18,3811.5
House,95000000,Navy Housing Scheme Karsaz,24.893299,67.103462,5,5,2019-06-28,3811.5
House,172500000,Navy Housing Scheme Karsaz,24.893299,67.103462,8,6,2019-06-07,5445.0
Upper Portion,9500000,Nazimabad,24.91493,67.026644,3,3,2019-07-18,2341.35
House,10000000,Gadap Town,25.01372,67.16262,3,3,2019-03-19,1306.8
House,185000000,DHA Defence,24.810265,67.043552,7,7,2019-07-04,10890.0
Flat,4666000,Fazaia Housing Scheme,25.03743275,67.13618517,3,2,2019-05-06,1579.05
Flat,10100000,Fazaia Housing Scheme,25.03737721,67.13615298,5,4,2019-05-06,3403.125
Flat,4090000,Fazaia Housing Scheme,25.07588167,67.10603714,2,2,2019-05-06,1551.825
Flat,4797000,Fazaia Housing Scheme,25.07588167,67.10603714,4,3,2019-05-06,1824.075
